id,qty,unit,name,description,recipeId
12,4,tetg,hjfgyh,,5
13,3,tbsp,constarch,divided,6
14,1,pound,flank steak ,cut into thin 1-inch pieces,6
15,0.5,cup,soy sauce,,6
16,3,tbsp,brown sugar,,6
17,1,tbsp,garlic,minced,6
18,2,teaspoons,ginger,grated,6
19,2,tbsp,vegetable oil,divided,6
20,4,cups,broccoli florets,,6
21,0.5,cup,white onions,sliced,6
22,2,tbsp,extra-virgin olive oil,,7
23,4,(6- to 8-0z.),chicken breasts,boneless,7
24,1,tsp,salt,divided,7
25,1,tsp,ground pepper,divided,7
26,0.5,cup,butter,,7
27,1,,medium shallot,finely chopped,7
28,5,cloves,garlic,finely chopped,7
29,0.5,cup,chicken broth,,7
30,4,tsp,mustard,,7
31,1,tsbp,horseradish,,7
32,1,tsp,paprika,,7
33,3,tbsp,chives,thinly sliced,7
34,2,tbsp,parsley,finely chopped,7
35,2,tsp,thyme,finely chopped,7
36,2,tbsp,butter,,8
37,2,tbsp,extra-virgin olive oil,,8
38,16,oz.,Italian sausage,casings removed,8
39,5,cloves,garlic,,8
40,0.25,cup,basil,coarsely chopped,8
41,2,(24-oz.) jars,Marinara sauce,,8
42,,,salt,to taste,8
43,24,oz.,lasagna noodles,"broken into 3"" pieces",8
44,16,oz.,whole-milk ricotta,,8
45,4,oz.,Parmesan,"finely grated (about 2 cups), divided",8
46,,,ground black pepper,,8
47,16,oz.,Mozzarella,,8
