id,stepNo,description,recipeId
11,1,hfdtrhfthj,5
12,1,"In a large bowl, whisk together 2 tablespoons cornstarch with 3 tablespoons water. Add the beef to the bowl and toss to combine.",6
13,2,"In a separate small bowl, whisk together the remaining 1 tablespoon cornstarch with the soy sauce, brown sugar, garlic and ginger. Set the sauce aside. ",6
14,3,"Heat a large nonstick sauté pan over medium heat. Add 1 tablespoon of the vegetable oil and once it is hot, add the beef and cook, stirring constantly until the beef is almost cooked through. Using a slotted spoon, transfer the beef to a plate and set it aside.",6
15,4,"Add the remaining 1 tablespoon of vegetable oil to the pan and once it is hot, add the broccoli florets and sliced onions and cook, stirring occasionally, until the broccoli is tender, about 4 minutes. (See Kelly’s Notes.) ",6
16,5,"Return the beef to the pan then add the prepared sauce. Bring the mixture to a boil and cook, stirring, for 1 minute or until the sauce thickens slightly. Serve with rice or noodles.",6
17,1,"In a large skillet over medium-high heat, heat oil. Season chicken on all sides with 1/2 tsp. salt and 1/2 tsp. pepper. Cook chicken, turning halfway through, until golden brown, 7 to 8 minutes per side. Transfer to a plate.",7
18,2,"Reduce heat to medium and melt butter. Add shallot and garlic and cook, stirring, just until fragrant, about 2 minutes. Add broth, mustard, horseradish, paprika, chives, parsley, and thyme, and whisk to combine; season with remaining 1/2 tsp. salt and 1/2 tsp. pepper.",7
19,3,"Bring mixture to a low simmer. Return chicken and any accumulated juices to skillet. Cook, stirring occasionally, until an instant-read thermometer inserted into thickest part of chicken registers 165° and sauce is slightly reduced, 8 to 10 minutes, depending on thickness of chicken. If liquid reduces too much, add 1 to 2 Tbsp. broth to loosen into a pourable sauce.",7
20,4,Serve chicken with sauce poured over. Sprinkle with chives.,7
21,1,"Arrange a rack in center of oven; preheat to 375°. Grease bottom and sides of an 18"" x 13"" baking sheet with butter.",8
22,2,"In a large (at least 12""), high-sided skillet over medium-high heat, heat oil. Add sausage and cook, breaking up with a wooden spoon, until browned, about 6 minutes. Add garlic and basil and cook, stirring, until garlic is fragrant, about 1 minute more. Pour in sauce and bring to a simmer.",8
23,3,"Meanwhile, in a large pot of boiling salted water, cook lasagna, stirring occasionally to prevent sticking, until very al dente, about 10 minutes. Drain and transfer to a large bowl. Add 1/2 cup Parmesan and 2 Tbsp. butter and toss to combine. Add pasta mixture to skillet with sauce.",8
24,4,"In a medium bowl, combine ricotta and remaining 1 1/2 cups Parmesan; season with salt and pepper.",8
25,5,Pour pasta mixture into prepared baking sheet. Sprinkle with mozzarella. Dollop ricotta mixture over.,8
26,6,"Bake lasagna until cheese is bubbly and golden, and edges are lightly crispy, 20 to 25 minutes.",8
